VSG,pct,day,parasites
parasitemia,,6,2000000
parasitemia,,7,34000000
parasitemia,,8,20000000
parasitemia,,10,100000
parasitemia,,12,2000000
parasitemia,,14,18000000
parasitemia,,16,18000000
parasitemia,,18,100000
parasitemia,,20,8000000
parasitemia,,21,4000000
parasitemia,,22,6600000
parasitemia,,24,15000000
parasitemia,,26,100000
parasitemia,,28,22000000
parasitemia,,30,22000000
c914_g1_i1_d12_1542,98.13526043,6,1962705.209
c914_g1_i1_d12_1542,0.022013349,12,440.2669896
c914_g1_i1_d12_1542,0.029726544,14,5350.777845
c914_g1_i1_d12_1542,0.032397536,18,32.39753612
c914_g1_i1_d12_1542,.001,21,1
c914_g1_i1_d12_1542,.001,24,1
c914_g1_i1_d12_1542,.001,26,1
c914_g1_i1_d12_1542,.001,30,1
c3790_g1_i1_d26_1497,1.037476506,6,20749.53012
c3790_g1_i1_d26_1497,.001,12,1
c3790_g1_i1_d26_1497,.001,14,1
c3790_g1_i1_d26_1497,.001,18,1
c3790_g1_i1_d26_1497,0.309811699,21,12392.46797
c3790_g1_i1_d26_1497,.001,24,1
c3790_g1_i1_d26_1497,0.014905821,26,14.90582076
c3790_g1_i1_d26_1497,.001,30,1
c2565_g2_i1_d12_1602,0.306319078,6,6126.381555
c2565_g2_i1_d12_1602,0.938417168,12,18768.34337
c2565_g2_i1_d12_1602,.001,14,1
c2565_g2_i1_d12_1602,.001,18,1
c2565_g2_i1_d12_1602,.001,21,1
c2565_g2_i1_d12_1602,.001,24,1
c2565_g2_i1_d12_1602,.001,26,1
c2565_g2_i1_d12_1602,.001,30,1
c4432_g1_i2_d21_978,0.089265125,6,1785.302492
c4432_g1_i2_d21_978,.001,12,1
c4432_g1_i2_d21_978,0.121122084,14,21801.97513
c4432_g1_i2_d21_978,0.07015354,18,70.15353984
c4432_g1_i2_d21_978,.001,21,1
c4432_g1_i2_d21_978,.001,24,1
c4432_g1_i2_d21_978,0.174739468,26,174.7394676
c4432_g1_i2_d21_978,.001,30,1
c6715_g1_i1_d6-7_1473,0.079398795,6,1587.975905
c6715_g1_i1_d6-7_1473,1.230853856,12,24617.07713
c6715_g1_i1_d6-7_1473,.001,14,1
c6715_g1_i1_d6-7_1473,0.048922455,18,48.92245466
c6715_g1_i1_d6-7_1473,.001,21,1
c6715_g1_i1_d6-7_1473,.001,24,1
c6715_g1_i1_d6-7_1473,.001,26,1
c6715_g1_i1_d6-7_1473,.001,30,1
c3778_g2_i1_d18_1392,0.065923198,6,1318.46396
c3778_g2_i1_d18_1392,0.479967198,12,9599.343954
c3778_g2_i1_d18_1392,0.018731014,14,3371.582599
c3778_g2_i1_d18_1392,0.054691718,18,54.69171804
c3778_g2_i1_d18_1392,.001,21,1
c3778_g2_i1_d18_1392,.001,24,1
c3778_g2_i1_d18_1392,.001,26,1
c3778_g2_i1_d18_1392,.001,30,1
c4563_g1_i1_d14_1408,0.051679809,6,1033.59618
c4563_g1_i1_d14_1408,0.197325773,12,3946.515454
c4563_g1_i1_d14_1408,1.814599885,14,326627.9793
c4563_g1_i1_d14_1408,0.025006593,18,25.00659285
c4563_g1_i1_d14_1408,0.02958236,21,1183.294392
c4563_g1_i1_d14_1408,.001,24,1
c4563_g1_i1_d14_1408,0.031501964,26,31.50196435
c4563_g1_i1_d14_1408,.001,30,1
c3778_g1_i1_d18_1467,0.044025488,6,880.5097641
c3778_g1_i1_d18_1467,17.42280951,12,348456.1903
c3778_g1_i1_d18_1467,0.024037134,14,4326.684189
c3778_g1_i1_d18_1467,.001,18,1
c3778_g1_i1_d18_1467,.001,21,1
c3778_g1_i1_d18_1467,.001,24,1
c3778_g1_i1_d18_1467,.001,26,1
c3778_g1_i1_d18_1467,.001,30,1
c1469_g1_i1_d21_976,0.035107158,6,702.1431646
c1469_g1_i1_d21_976,.001,12,1
