VSG,pct,day,parasites
parasitemia,,6,100000
parasitemia,,7,6000000
parasitemia,,8,96000000
parasitemia,,10,16000000
parasitemia,,12,100000
parasitemia,,14,2000000
parasitemia,,16,40000000
parasitemia,,18,100000
parasitemia,,20,100000
parasitemia,,21,8000000
parasitemia,,22,10000000
parasitemia,,24,36000000
parasitemia,,26,100000
parasitemia,,28,10000000
parasitemia,,30,10000000
c2565_g2_i1_d12_1602,99.7856085,7,5987136.51
c2565_g2_i1_d12_1602,1.402545117,12,1402.545117
c2565_g2_i1_d12_1602,.001,14,1
c2565_g2_i1_d12_1602,.001,18,1
c2565_g2_i1_d12_1602,.001,21,1
c2565_g2_i1_d12_1602,.001,24,1
c2565_g2_i1_d12_1602,0.106856248,26,106.856248
c2565_g2_i1_d12_1602,.001,30,1
c4563_g1_i1_d14_1408,0.051582029,7,3094.92174
c4563_g1_i1_d14_1408,.001,12,1
c4563_g1_i1_d14_1408,0.01138146,14,227.6292
c4563_g1_i1_d14_1408,0.020875795,18,20.875795
c4563_g1_i1_d14_1408,.001,21,1
c4563_g1_i1_d14_1408,.001,24,1
c4563_g1_i1_d14_1408,.001,26,1
c4563_g1_i1_d14_1408,0.018830528,30,1883.0528
c6715_g1_i1_d6-7_1473,0.037461917,7,2247.71502
c6715_g1_i1_d6-7_1473,5.3366121,12,5336.6121
c6715_g1_i1_d6-7_1473,1.031060652,14,20621.21304
c6715_g1_i1_d6-7_1473,.001,18,1
c6715_g1_i1_d6-7_1473,.001,21,1
c6715_g1_i1_d6-7_1473,.001,24,1
c6715_g1_i1_d6-7_1473,.001,26,1
c6715_g1_i1_d6-7_1473,.001,30,1
c3778_g2_i1_d18_1392,0.022107302,7,1326.43812
c3778_g2_i1_d18_1392,4.347039861,12,4347.039861
c3778_g2_i1_d18_1392,12.23798497,14,244759.6994
c3778_g2_i1_d18_1392,0.07989068,18,79.89068
c3778_g2_i1_d18_1392,.001,21,1
c3778_g2_i1_d18_1392,.001,24,1
c3778_g2_i1_d18_1392,0.654079333,26,654.079333
c3778_g2_i1_d18_1392,.001,30,1
c1376_g1_i1_d14_1321,0.020174611,7,1210.47666
c1376_g1_i1_d14_1321,.001,12,1
c1376_g1_i1_d14_1321,.001,14,1
c1376_g1_i1_d14_1321,0.024679951,18,24.679951
c1376_g1_i1_d14_1321,.001,21,1
c1376_g1_i1_d14_1321,.001,24,1
c1376_g1_i1_d14_1321,.001,26,1
c1376_g1_i1_d14_1321,0.02435689,30,2435.689
c3778_g1_i1_d18_1467,0.016443397,7,986.60382
c3778_g1_i1_d18_1467,11.56383011,12,11563.83011
c3778_g1_i1_d18_1467,.001,14,1
c3778_g1_i1_d18_1467,.001,18,1
c3778_g1_i1_d18_1467,.001,21,1
c3778_g1_i1_d18_1467,.001,24,1
c3778_g1_i1_d18_1467,.001,26,1
c3778_g1_i1_d18_1467,.001,30,1
c4209_g2_i1_d6-7_1392,0.010253431,7,615.20586
c4209_g2_i1_d6-7_1392,10.96382308,12,10963.82308
c4209_g2_i1_d6-7_1392,0.072769956,14,1455.39912
c4209_g2_i1_d6-7_1392,0.154306675,18,154.306675
c4209_g2_i1_d6-7_1392,.001,21,1
c4209_g2_i1_d6-7_1392,.001,24,1
c4209_g2_i1_d6-7_1392,.001,26,1
c4209_g2_i1_d6-7_1392,.001,30,1
c3778_g3_i1_d18_1581,.001,7,1
c3778_g3_i1_d18_1581,.001,12,1
c3778_g3_i1_d18_1581,.001,14,1
c3778_g3_i1_d18_1581,5.048176238,18,5048.176238
c3778_g3_i1_d18_1581,.001,21,1
c3778_g3_i1_d18_1581,.001,24,1
c3778_g3_i1_d18_1581,.001,26,1
c3778_g3_i1_d18_1581,.001,30,1
c4432_g1_i2_d21_978,.001,7,1
c4432_g1_i2_d21_978,0.03478695,12,34.78695
c4432_g1_i2_d21_978,.001,14,1
c4432_g1_i2_d21_978,0.219274914,18,219.274914
c4432_g1_i2_d21_978,0.019369351,21,1549.54808
c4432_g1_i2_d21_978,0.02243683,24,8077.2588
c4432_g1_i2_d21_978,1.287155573,26,1287.155573
c4432_g1_i2_d21_978,0.259412504,30,25941.2504
c914_g1_i1_d12_1542,.001,7,1
c914_g1_i1_d12_1542,17.93711084,12,17937.11084
c914_g1_i1_d12_1542,81.64832304,14,1632966.461
c914_g1_i1_d12_1542,0.125124492,18,125.124492
c914_g1_i1_d12_1542,.001,21,1
c914_g1_i1_d12_1542,.001,24,1
c914_g1_i1_d12_1542,.001,26,1
c914_g1_i1_d12_1542,.001,30,1
c1469_g1_i1_d21_976,.001,7,1
c1469_g1_i1_d21_976,.001,12,1
c1469_g1_i1_d21_976,.001,14,1
c1469_g1_i1_d21_976,0.021673066,18,21.673066
c1469_g1_i1_d21_976,.001,21,1
c1469_g1_i1_d21_976,.001,24,1
c1469_g1_i1_d21_976,0.328700342,26,328.700342
c1469_g1_i1_d21_976,0.031902072,30,3190.2072
c2595_g1_i2_d12_1449,.001,7,1
c2595_g1_i2_d12_1449,0.081009671,12,81.009671
c2595_g1_i2_d12_1449,0.13450904,14,2690.1808
c2595_g1_i2_d12_1449,0.159327359,18,159.327359
c2595_g1_i2_d12_1449,.001,21,1
c2595_g1_i2_d12_1449,.001,24,1
c2595_g1_i2_d12_1449,.001,26,1
c2595_g1_i2_d12_1449,.001,30,1
c2524_g1_i1_d6-7_1452,.001,7,1
c2524_g1_i1_d6-7_1452,.001,12,1
c2524_g1_i1_d6-7_1452,.001,14,1
c2524_g1_i1_d6-7_1452,0.011440389,18,11.440389
c2524_g1_i1_d6-7_1452,.001,21,1
c2524_g1_i1_d6-7_1452,.001,24,1
c2524_g1_i1_d6-7_1452,.001,26,1
c2524_g1_i1_d6-7_1452,.001,30,1
c377_g1_i1_d6-7_1350,.001,7,1
c377_g1_i1_d6-7_1350,.001,12,1
c377_g1_i1_d6-7_1350,.001,14,1
