country,n_isolates,n_genes,n_unique_types,H_bits,H_corrected,H_max_bits,efficiency,bootstrap_mean,bootstrap_CI_lo,bootstrap_CI_hi,MM_correction
Bangladesh,49,3548,552,6.214,6.102,9.109,0.6822,6.091,5.982,6.199,0.112
Cambodia,639,33885,1442,6.704,6.673,10.494,0.6388,6.67,6.633,6.704,0.0307
Congo DR,1,18,14,3.614,3.093,3.807,0.9493,3.009,2.439,3.461,0.521
Democratic Republic of Congo,101,7819,807,6.449,6.375,9.656,0.6679,6.367,6.291,6.445,0.0744
Gambia,2,116,57,5.006,4.658,5.833,0.8582,4.615,4.266,4.91,0.3482
"Gambia, The",62,4013,542,6.325,6.228,9.082,0.6964,6.219,6.124,6.313,0.0972
Ghana,535,48169,1934,6.694,6.665,10.917,0.6131,6.663,6.632,6.692,0.0289
Guinea,96,7093,815,6.373,6.29,9.671,0.659,6.282,6.2,6.36,0.0828
Kenya,48,2180,462,6.707,6.554,8.852,0.7577,6.538,6.418,6.66,0.1525
Laos,82,5496,637,6.237,6.153,9.315,0.6695,6.145,6.054,6.234,0.0835
Malawi,253,24317,1393,6.699,6.658,10.444,0.6414,6.653,6.611,6.696,0.0413
Mali,82,6635,826,6.729,6.639,9.69,0.6944,6.63,6.549,6.703,0.0897
Myanmar,2,218,91,5.447,5.15,6.508,0.8371,5.109,4.82,5.374,0.2978
Myanmar (Burma),56,3124,424,6.138,6.04,8.728,0.7032,6.029,5.919,6.129,0.0977
Nigeria,3,231,90,5.335,5.058,6.492,0.8219,5.02,4.713,5.295,0.2779
Senegal,96,3955,404,5.649,5.575,8.658,0.6524,5.568,5.472,5.668,0.0735
Thailand,142,7965,648,6.359,6.3,9.34,0.6808,6.295,6.228,6.364,0.0586
Vietnam,129,6382,752,6.76,6.675,9.555,0.7075,6.667,6.59,6.74,0.0849
