sample_id,country,n_genes,n_unique_architectures,H_bits,H_max
PA0007-C,"Gambia, The",50,29,4.493340441068115,4.857980995127572
PA0008-C,"Gambia, The",180,85,5.4697302961972,6.409390936137702
PA0011-C,"Gambia, The",38,24,4.231369869151726,4.584962500721156
PA0012-C,"Gambia, The",65,41,4.718446466841324,5.357552004618084
PA0015-C,"Gambia, The",46,26,4.139575254329901,4.700439718141092
PA0016-C,"Gambia, The",55,34,4.6252904603342255,5.087462841250339
PA0017-C,"Gambia, The",67,36,4.535947311427603,5.169925001442312
PA0018-C,"Gambia, The",56,29,4.3989973963322795,4.857980995127572
PA0020-C,"Gambia, The",54,36,4.791924539200507,5.169925001442312
PA0021-C,"Gambia, The",104,49,4.838607611576743,5.614709844115208
PA0022-C,"Gambia, The",58,29,4.129674860585859,4.857980995127572
PA0026-C,"Gambia, The",45,23,3.989990675763587,4.523561956057013
PA0027-C,"Gambia, The",90,48,5.016938380534725,5.584962500721156
PA0029-C,"Gambia, The",51,28,4.270779391866317,4.807354922057604
PA0030-C,"Gambia, The",88,58,5.582599124788092,5.857980995127572
PA0032-C,"Gambia, The",58,31,4.352377593667091,4.954196310386875
PA0034-C,"Gambia, The",64,31,4.182142772795222,4.954196310386875
PA0035-C,"Gambia, The",42,29,4.537171066567006,4.857980995127572
PA0036-C,"Gambia, The",47,24,4.100574034068332,4.584962500721156
PA0037-C,"Gambia, The",50,29,4.3879764393853,4.857980995127572
PA0038-C,"Gambia, The",59,41,5.062196067047152,5.357552004618084
PA0039-C,"Gambia, The",83,41,4.7073659799944805,5.357552004618084
PA0040-C,"Gambia, The",81,45,4.771112319170574,5.491853096329675
PA0041-C,"Gambia, The",89,51,5.000480835646296,5.672425341971495
PA0042-C,"Gambia, The",68,35,3.97140787709239,5.129283016944966
PA0044-C,"Gambia, The",79,42,4.5916514331516876,5.392317422778761
PA0045-C,"Gambia, The",57,33,4.464819499835595,5.044394119358453
PA0046-C,"Gambia, The",61,31,4.396057151658605,4.954196310386875
PA0047-C,"Gambia, The",38,30,4.80700942128139,4.906890595608519
PA0049-C,"Gambia, The",59,27,4.01965750765178,4.754887502163468
PA0050-C,"Gambia, The",69,36,4.3644249996606925,5.169925001442312
PA0051-C,"Gambia, The",55,31,4.449122827090408,4.954196310386875
PA0052-C,"Gambia, The",98,48,4.882415973951013,5.584962500721156
PA0053-C,"Gambia, The",122,60,5.268999650865406,5.906890595608519
PA0056-C,"Gambia, The",58,33,4.334454650703429,5.044394119358453
PA0057-C,"Gambia, The",45,19,3.1309938545884757,4.247927513443585
PA0059-C,Gambia,57,36,4.752472313717832,5.169925001442312
PA0061-C,"Gambia, The",110,49,4.502774976507954,5.614709844115208
PA0064-C,"Gambia, The",53,36,4.925480359978655,5.169925001442312
PA0065-C,"Gambia, The",54,34,4.747362095560383,5.087462841250339
PA0067-C,"Gambia, The",48,24,4.020935462936486,4.584962500721156
PA0068-C,"Gambia, The",63,34,4.470066378052144,5.087462841250339
PA0069-C,"Gambia, The",65,37,4.6512098692671,5.20945336562895
PA0071-C,"Gambia, The",54,36,4.838039816898156,5.169925001442312
PA0073-C,"Gambia, The",32,25,4.515319531114783,4.643856189774724
PA0074-C,"Gambia, The",56,32,4.0495234595978316,5.0
PA0075-C,"Gambia, The",42,25,4.278724567227165,4.643856189774724
PA0078-C,"Gambia, The",52,27,3.8994496324794916,4.754887502163468
PA0079-C,Gambia,59,32,4.297731608610538,5.0
PA0081-C,"Gambia, The",62,38,4.773983999358261,5.247927513443585
PA0084-C,"Gambia, The",118,57,4.934193801070682,5.832890014164741
PA0085-C,"Gambia, The",73,38,4.4039045846812375,5.247927513443585
PA0087-C,"Gambia, The",58,31,4.501631158913804,4.954196310386875
PA0089-C,"Gambia, The",57,29,4.2525411582547195,4.857980995127572
PA0091-C,"Gambia, The",43,28,4.338569407419145,4.807354922057604
PA0092-C,"Gambia, The",72,41,4.907869148100392,5.357552004618084
PA0093-C,"Gambia, The",65,41,4.865439205704794,5.357552004618084
PA0094-C,"Gambia, The",48,34,4.800556574587756,5.087462841250339
PA0098-C,"Gambia, The",74,38,4.198723804555015,5.247927513443585
PA0099-C,"Gambia, The",62,36,4.495770755748645,5.169925001442312
PA0100-C,"Gambia, The",57,31,4.044322700093266,4.954196310386875
PA0101-C,"Gambia, The",50,33,4.749275070710714,5.044394119358453
PA0102-C,"Gambia, The",59,33,4.246941044109135,5.044394119358453
PA0104-C,"Gambia, The",57,31,4.318459857718071,4.954196310386875
PA0134-C,Guinea,70,35,4.307274215426881,5.129283016944966
PA0137-C,Guinea,61,34,4.254993111993131,5.087462841250339
PA0138-C,Guinea,179,75,5.291206558730193,6.22881869049588
PA0140-C,Guinea,62,37,4.718985458483792,5.20945336562895
PA0144-C,Guinea,67,38,4.355593759786815,5.247927513443585
PA0145-C,Guinea,116,54,4.488500456430778,5.754887502163468
PA0146-C,Guinea,68,38,4.454004742249921,5.247927513443585
PA0147-C,Guinea,138,58,4.986339904782075,5.857980995127572
PA0148-C,Guinea,65,42,4.971315346697676,5.392317422778761
PA0149-C,Guinea,62,26,3.6726165228509458,4.700439718141092
PA0151-C,Guinea,57,30,4.116198851395338,4.906890595608519
PA0152-C,Guinea,54,28,4.074241437308591,4.807354922057604
PA0153-C,Guinea,103,45,4.165719347183659,5.491853096329675
PA0155-C,Guinea,115,60,5.072379181433558,5.906890595608519
PA0157-C,Guinea,61,37,4.275105314931453,5.20945336562895
PA0158-C,Guinea,65,35,4.462612767101468,5.129283016944966
PA0159-C,Guinea,58,27,3.6588137538579466,4.754887502163468
PA0160-C,Guinea,59,33,4.513253430387753,5.044394119358453
PA0161-C,Guinea,52,29,3.9744487410690508,4.857980995127572
PA0163-C,Guinea,58,37,4.719375822415369,5.20945336562895
PA0165-C,Guinea,62,33,4.087285973569442,5.044394119358453
PA0167-C,Guinea,70,36,4.389089623686037,5.169925001442312
PA0168-C,Guinea,58,33,4.264767685531594,5.044394119358453
PA0169-C,Guinea,57,35,4.704496850805082,5.129283016944966
PA0172-C,Guinea,71,33,4.060961731845554,5.044394119358453
PA0173-C,Guinea,61,36,4.598209263544127,5.169925001442312
PA0176-C,Guinea,62,39,4.636303715784082,5.285402218862249
PA0177-C,Guinea,85,47,4.810215598440036,5.554588851677638
PA0178-C,Guinea,86,56,5.200413847695564,5.807354922057604
PA0179-C,Guinea,108,63,5.108958727225475,5.977279923499917
PA0180-C,Guinea,62,35,4.303869484098731,5.129283016944966
PA0182-C,Guinea,56,28,3.9462763906334057,4.807354922057604
PA0183-C,Guinea,58,37,4.349954956203577,5.20945336562895
PA0184-C,Guinea,65,39,4.764696952076847,5.285402218862249
PA0185-C,Guinea,69,48,5.0944060734298064,5.584962500721156
PA0186-C,Guinea,57,30,4.116863039987109,4.906890595608519
PA0187-C,Guinea,60,27,3.5992083835923787,4.754887502163468
PA0188-C,Guinea,51,26,3.934483354739828,4.700439718141092
PA0189-C,Guinea,62,36,4.420381652714414,5.169925001442312
PA0191-C,Guinea,139,74,5.383947136570946,6.20945336562895
